,id,name
0,NCML,"National currency, monthly level"
1,NCMLSA,"National currency, monthly level, s.a."
2,CXMLSA,"US Dollars, monthly level, s.a."
3,ST,"Level, rate or national currency"
4,IXOB,Index 2015=100
5,STSA,"Level, rate or national currency, s.a."
6,GPSA,"Growth rate previous period, s.a."
7,GYSA,"Growth rate same period previous year, s.a."
8,IXOBSA,"Index 2015=100, s.a."
9,GY,Growth rate same period previous year
10,ML,Monthly level
11,MLSA,"Monthly level, s.a."
12,GP,Growth rate previous period
13,CXML,"US Dollars, monthly level"
14,CXCUSA,"US Dollars, sum over component sub-periods, s.a."
15,CXCU,"US Dollars, sum over component sub-periods"
16,NCCUSA,"National currency, sum over component sub-periods s.a"
17,NCCU,"National currency, sum over component sub-periods"
18,AL,Annual Level
19,IXNB,Index source base
