,id,name
0,NCML,"National currency, monthly level"
1,NCMLSA,"National currency, monthly level, s.a."
2,CXMLSA,"US Dollars, monthly level, s.a."
3,IXOB,Index 2015=100
4,STSA,"Level, rate or national currency, s.a."
5,GPSA,"Growth rate previous period, s.a."
6,GYSA,"Growth rate same period previous year, s.a."
7,IXOBSA,"Index 2015=100, s.a."
8,GY,Growth rate same period previous year
9,ML,Monthly level
10,MLSA,"Monthly level, s.a."
11,ST,"Level, rate or national currency"
12,GP,Growth rate previous period
13,NCCU,"National currency, sum over component sub-periods"
14,CXCUSA,"US Dollars, sum over component sub-periods, s.a."
15,CXCU,"US Dollars, sum over component sub-periods"
16,NCCUSA,"National currency, sum over component sub-periods s.a"
17,CXML,"US Dollars, monthly level"
18,IXEBSA,"Index Eurostat base, s.a."
19,AL,Annual Level
20,IXNB,Index source base
21,IXEB,Index Eurostat base
