,id,name
0,NCMLSA,"National currency, monthly level, s.a."
1,CXML,"US Dollars, monthly level"
2,CXMLSA,"US Dollars, monthly level, s.a."
3,ST,"Level, rate or national currency"
4,STSA,"Level, rate or national currency, s.a."
5,GPSA,"Growth rate previous period, s.a."
6,GYSA,"Growth rate same period previous year, s.a."
7,IXOB,Index 2015=100
8,IXOBSA,"Index 2015=100, s.a."
9,QL,Quarterly level
10,QLSA,"Quarterly level, s.a."
11,GP,Growth rate previous period
12,ML,Monthly level
13,MLSA,"Monthly level, s.a."
14,NCML,"National currency, monthly level"
15,GY,Growth rate same period previous year
16,CXCU,"US Dollars, sum over component sub-periods"
17,CXCUSA,"US Dollars, sum over component sub-periods, s.a."
18,AL,Annual Level
19,IXNB,Index source base
