country,A5M,A5M,A5M,A5M,A5M,A5M,A5M,A5M,A5M,A5M,A5M
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPOR_GYSA,LORSGPOR_IXOBSA,LORSGPRT,LORSGPTD
measure,,,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Percentage,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,2010=100,,
time,,,,,,,,,,,
1978-01,,,,,,,100.1637,,8.567826,100.2614,8.545485
1978-02,,,,,,,100.2229,,8.606627,100.3066,8.580322
1978-03,,,,,,,100.2666,,8.644333,100.3366,8.615331
1978-04,,,,,,,100.2954,,8.680808,100.3503,8.650506
1978-05,,,,,,,100.3148,,8.716436,100.3523,8.68584
1978-06,,,,,,,100.3317,,8.751705,100.3483,8.721325
1978-07,,,,,,,100.354,,8.787468,100.3484,8.756956
1978-08,,,,,,,100.3922,,8.825146,100.3687,8.792727
1978-09,,,,,,,100.4518,,8.865465,100.4172,8.828631
1978-10,,,,,,,100.534,,8.908684,100.4966,8.864664
1978-11,,,,,,,100.6394,,8.955036,100.6091,8.900819
1978-12,,,,,,,100.7645,,9.004147,100.7503,8.937089
1979-01,,,,,,,100.9044,5.6919,9.055498,100.9141,8.973472
1979-02,,,,,,,101.0552,5.836035,9.108913,101.0983,9.00996
1979-03,,,,,,,101.205,6.000309,9.163019,101.2874,9.046552
1979-04,,,,,,,101.3386,6.167174,9.216168,101.4634,9.083241
1979-05,,,,,,,101.4421,6.315494,9.266922,101.6107,9.120026
1979-06,,,,,,,101.5045,6.425975,9.314088,101.7166,9.156903
1979-07,,,,,,,101.5257,6.487587,9.357563,101.7804,9.193872
1979-08,,,,,,,101.5075,6.482419,9.397229,101.8015,9.230934
1979-09,,,,,,,101.4521,6.4016,9.432997,101.7793,9.268088
1979-10,,,,,,,101.3606,6.23933,9.464526,101.7107,9.305339
1979-11,,,,,,,101.2347,5.992078,9.49163,101.5942,9.342688
1979-12,,,,,,,101.078,5.669048,9.514596,101.4334,9.38014
1980-01,,,,,,,100.8964,5.284163,9.534005,101.2349,9.417706
1980-02,,,,,,,100.6956,4.844697,9.550213,101.0029,9.455389
1980-03,,,,,,,100.4923,4.3865,9.564955,100.7559,9.4932
1980-04,,,,,,,100.318,3.967316,9.581803,100.5315,9.531149
1980-05,,,,,,,100.2041,3.639818,9.604221,100.3655,9.569247
1980-06,,,,,,,100.1689,3.438086,9.634315,100.279,9.607506
1980-07,,,,,,,100.1987,3.346161,9.670682,100.2565,9.645936
1980-08,,,,,,,100.2657,3.332491,9.710391,100.2668,9.684549
1980-09,,,,,,,100.3431,3.36992,9.750882,100.2831,9.723358
1980-10,,,,,,,100.4118,3.447099,9.790778,100.2909,9.762376
1980-11,,,,,,,100.4584,3.556543,9.829203,100.2814,9.801617
1980-12,,,,,,,100.4758,3.690905,9.865771,100.2507,9.841095
1981-01,,,,,,,100.4692,3.851094,9.901169,100.2059,9.880825
1981-02,,,,,,,100.4484,4.045836,9.936599,100.159,9.920822
1981-03,,,,,,,100.4207,4.265635,9.972961,100.1191,9.961102
1981-04,,,,,,,100.3813,4.463791,10.00951,100.0783,10.00168
1981-05,,,,,,,100.3233,4.591917,10.04524,100.0266,10.04257
1981-06,,,,,,,100.2447,4.622761,10.07969,99.95927,10.08379
1981-07,,,,,,,100.1575,4.582928,10.11388,99.88664,10.12536
1981-08,,,,,,,100.0786,4.521649,10.14946,99.82462,10.16729
1981-09,,,,,,,100.0228,4.480494,10.18777,99.78613,10.2096
1981-10,,,,,,,99.99386,4.475447,10.22896,99.7722,10.25231
1981-11,,,,,,,99.9875,4.506845,10.27219,99.77419,10.29544
1981-12,,,,,,,99.9944,4.565474,10.31619,99.77944,10.33899
1982-01,,,,,,,99.99774,4.62341,10.35894,99.7683,10.383
1982-02,,,,,,,99.98133,4.647198,10.39837,99.72298,10.42726
1982-03,,,,,,,99.93599,4.622513,10.43396,99.63681,10.472
1982-04,,,,,,,99.86223,4.56067,10.46602,99.51302,10.51723
1982-05,,,,,,,99.7686,4.486454,10.49591,99.36503,10.56299
1982-06,,,,,,,99.66796,4.423936,10.5256,99.21135,10.60927
1982-07,,,,,,,99.57487,4.383294,10.5572,99.07177,10.65612
1982-08,,,,,,,99.50065,4.363979,10.59238,98.96156,10.70353
1982-09,,,,,,,99.44936,4.359399,10.6319,98.88723,10.75153
1982-10,,,,,,,99.41136,4.357681,10.6747,98.83853,10.80014
1982-11,,,,,,,99.37189,4.349106,10.71894,98.79774,10.84938
1982-12,,,,,,,99.32066,4.332581,10.76315,98.75133,10.89924
1983-01,,,,,,,99.26196,4.330945,10.80758,98.70151,10.94976
1983-02,,,,,,,99.20901,4.378817,10.8537,98.66097,11.00101
1983-03,,,,,,,99.17334,4.492672,10.90273,98.64109,11.05293
1983-04,,,,,,,99.16088,4.674602,10.95526,98.64684,11.10554
1983-05,,,,,,,99.17226,4.909715,11.01123,98.67716,11.15885
1983-06,,,,,,,99.20335,5.172666,11.07006,98.72639,11.21287
1983-07,,,,,,,99.2421,5.427238,11.13017,98.78026,11.2676
1983-08,,,,,,,99.27585,5.641469,11.18995,98.82436,11.32307
1983-09,,,,,,,99.29674,5.79861,11.2484,98.85001,11.37926
