country,ISL,ISL
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,13.66231
1960-Q2,,13.6134
1960-Q3,,13.56422
1960-Q4,,13.51477
1961-Q1,-1.428356,13.46716
1961-Q2,-1.431514,13.41852
1961-Q3,-0.1053925,13.54992
1961-Q4,2.655541,13.87366
1962-Q1,5.413462,14.1962
1962-Q2,8.16923,14.51471
1962-Q3,9.706724,14.86517
1962-Q4,9.904189,15.24773
1963-Q1,10.07627,15.62665
1963-Q2,10.25351,16.00298
1963-Q3,10.36863,16.40649
1963-Q4,10.42062,16.83664
1964-Q1,10.46862,17.26254
1964-Q2,10.5296,17.68803
1964-Q3,9.957166,18.04011
1964-Q4,8.783338,18.31546
1965-Q1,7.687191,18.58955
1965-Q2,6.628062,18.8604
1965-Q3,6.76028,19.25967
1965-Q4,8.073848,19.79422
1966-Q1,9.318345,20.32179
1966-Q2,10.53666,20.84765
1966-Q3,9.377732,21.06579
1966-Q4,5.851204,20.95242
1967-Q1,2.528131,20.83555
1967-Q2,-0.5934165,20.72394
1967-Q3,-2.78375,20.47937
1967-Q4,-4.098473,20.09369
1968-Q1,-5.394211,19.71164
1968-Q2,-6.725705,19.33011
1968-Q3,-6.172335,19.21532
1968-Q4,-3.556262,19.37911
1969-Q1,-0.8504725,19.54399
1969-Q2,1.940156,19.70514
1969-Q3,3.81985,19.94931
1969-Q4,4.65405,20.28102
1970-Q1,0.9571516,19.73106
1970-Q2,6.290575,20.94471
1970-Q3,10.04795,21.95381
1970-Q4,12.31407,22.77844
1971-Q1,18.7492,23.43048
1971-Q2,14.39653,23.96002
1971-Q3,11.13793,24.39901
1971-Q4,8.758613,24.77351
1972-Q1,7.157447,25.1075
1972-Q2,6.164898,25.43713
1972-Q3,5.712407,25.79278
1972-Q4,5.720284,26.19063
1973-Q1,6.057461,26.62838
1973-Q2,6.548498,27.10288
1973-Q3,7.094793,27.62273
1973-Q4,7.489308,28.15212
1974-Q1,7.456263,28.61386
1974-Q2,6.817871,28.95072
1974-Q3,5.359664,29.10321
1974-Q4,3.321,29.08706
1975-Q1,1.374701,29.00721
1975-Q2,0.08949766,28.97663
1975-Q3,-0.01013215,29.10026
1975-Q4,1.140161,29.4187
1976-Q1,3.070076,29.89776
1976-Q2,5.225471,30.4908
1976-Q3,7.102798,31.1672
1976-Q4,8.400061,31.88988
1977-Q1,9.081298,32.61286
1977-Q2,9.214734,33.30045
1977-Q3,8.871009,33.93204
1977-Q4,8.156572,34.491
1978-Q1,7.250966,34.97761
1978-Q2,6.346614,35.41389
1978-Q3,5.559061,35.81834
1978-Q4,4.981397,36.20914
1979-Q1,4.663518,36.6088
1979-Q2,4.610314,37.04659
1979-Q3,4.852699,37.5565
1979-Q4,5.303514,38.1295
1980-Q1,5.752256,38.71463
1980-Q2,6.004412,39.27102
1980-Q3,5.868468,39.76049
1980-Q4,5.375815,40.17927
1981-Q1,4.763865,40.55894
1981-Q2,4.249773,40.93995
1981-Q3,4.033521,41.36424
1981-Q4,4.028297,41.79781
1982-Q1,3.870206,42.12865
1982-Q2,3.237228,42.26527
1982-Q3,1.802609,42.10987
1982-Q4,-0.2223573,41.70487
