country,ISL,ISL,ISL,ISL,ISL,ISL,ISL
subject,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,
unit,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,
time,,,,,,,
1960-02,,,,,102.7689,106.4431,12.8402
1960-03,,,,,102.4499,105.7,12.91237
1960-04,,,,,102.1329,104.9615,12.98496
1960-05,,,,,101.8175,104.2267,13.05797
1960-06,,,,,101.5033,103.4949,13.13142
1960-07,,,,,101.1903,102.7656,13.20535
1960-08,,,,,100.8785,102.0393,13.27976
1960-09,,,,,100.5686,101.3174,13.35471
1960-10,,,,,100.2618,100.6027,13.43021
1960-11,,,,,99.96008,99.89986,13.50631
1960-12,,,,,99.66634,99.21558,13.58304
1961-01,,,,,99.38432,98.55861,13.66045
1961-02,,,,,99.11872,97.93989,13.73856
1961-03,,,,,98.87502,97.37216,13.81742
1961-04,,,,,98.65907,96.86912,13.89706
1961-05,,,,,98.47655,96.44394,13.97752
1961-06,,,,,98.33186,96.10686,14.05883
1961-07,,,,,98.22665,95.86178,14.14102
1961-08,,,,,98.16051,95.7077,14.22411
1961-09,,,,,98.13094,95.6388,14.30811
1961-10,,,,,98.13273,95.64298,14.39306
1961-11,,,,,98.15963,95.70565,14.47894
1961-12,,,,,98.20541,95.81228,14.56577
1962-01,,,,,98.26453,95.95002,14.65356
1962-02,,,,,98.33257,96.10852,14.74228
1962-03,,,,,98.40628,96.28024,14.83194
1962-04,,,,,98.48358,96.4603,14.92252
1962-05,,,,,98.56329,96.646,15.01401
1962-06,,,,,98.64484,96.83598,15.10637
1962-07,,,,,98.72783,97.02929,15.19959
1962-08,,,,,98.81197,97.2253,15.29363
1962-09,,,,,98.897,97.42337,15.38845
1962-10,,,,,98.98248,97.62249,15.48401
1962-11,,,,,99.06799,97.8217,15.58028
1962-12,,,,,99.1533,98.02044,15.67719
1963-01,,,,,99.23845,98.21879,15.7747
1963-02,,,,,99.32375,98.4175,15.87276
1963-03,,,,,99.40979,98.61794,15.97129
1963-04,,,,,99.49737,98.82195,16.07024
1963-05,,,,,99.58733,99.03154,16.16955
1963-06,,,,,99.68044,99.24841,16.26913
1963-07,,,,,99.77702,99.47341,16.36893
1963-08,,,,,99.87708,99.70651,16.46885
