country,BEL,BEL
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1966-Q1,,-7.304109
1966-Q2,,-13.72125
1966-Q3,,-19.84321
1966-Q4,,-26.30951
1967-Q1,,-20.94025
1967-Q2,,-24.27707
1967-Q3,,-20.03781
1967-Q4,,-18.51314
1968-Q1,,-18.92212
1968-Q2,,-8.660109
1968-Q3,,1.260379
1968-Q4,,7.0555
1969-Q1,,13.25048
1969-Q2,,16.63728
1969-Q3,,12.29814
1969-Q4,,6.272012
1970-Q1,,-4.223224
1970-Q2,,-10.79982
1970-Q3,,-10.77025
1970-Q4,,-6.322402
1971-Q1,,-8.029326
1971-Q2,,-14.41994
1971-Q3,,-13.04545
1971-Q4,,-16.04605
1972-Q1,,-9.705012
1972-Q2,,-8.331403
1972-Q3,,-3.168176
1972-Q4,,5.981006
1973-Q1,,2.201987
1973-Q2,,5.639171
1973-Q3,,4.322598
1973-Q4,,1.537609
1974-Q1,,0.073181
1974-Q2,,-5.544842
1974-Q3,,-15.05685
1974-Q4,,-37.88972
1975-Q1,,-44.33284
1975-Q2,,-31.05017
1975-Q3,,-28.58297
1975-Q4,,-11.12954
1976-Q1,,-2.266935
1976-Q2,,-11.78387
1976-Q3,,-9.553547
1976-Q4,,-19.5302
1977-Q1,,-22.56467
1977-Q2,,-22.98578
1977-Q3,,-25.8495
1977-Q4,,-20.68913
1978-Q1,,-16.13602
1978-Q2,71.89,-13.74004
1978-Q3,71.88,-13.83673
1978-Q4,74.71,-11.34693
1979-Q1,74.52,-14.64424
1979-Q2,75.18,0.6377482
1979-Q3,77.12,2.254415
1979-Q4,77.96,3.982218
1980-Q1,78.71,-1.097646
1980-Q2,78.52,-14.92488
1980-Q3,77.25,-20.22205
1980-Q4,74.39,-28.35733
1981-Q1,74.61,-24.16068
1981-Q2,74.76,-21.20211
1981-Q3,74.69,-14.06416
1981-Q4,75.41,-14.86117
1982-Q1,75.49,-14.63688
1982-Q2,75.82,-13.29216
1982-Q3,75.87,-10.3548
1982-Q4,76.41,-10.0234
1983-Q1,76.05,-12.22379
1983-Q2,75.57,-12.65322
1983-Q3,75.96,-12.40667
1983-Q4,75.81,-10.76895
1984-Q1,75.38,-8.928792
1984-Q2,75.77,-5.982958
1984-Q3,77.0,-2.409807
1984-Q4,76.57,-4.950655
1985-Q1,76.8,-4.4
1985-Q2,77.6,-1.4
1985-Q3,77.5,-1.7
1985-Q4,78.7,2.0
1986-Q1,77.8,-7.2
1986-Q2,77.2,-12.5
1986-Q3,77.2,-0.8
1986-Q4,77.0,-4.5
1987-Q1,76.7,-7.4
1987-Q2,76.5,-11.8
1987-Q3,76.7,2.6
1987-Q4,76.2,-1.8
1988-Q1,77.8,6.2
1988-Q2,78.2,9.6
1988-Q3,78.4,-0.9
1988-Q4,78.6,-1.0
1989-Q1,79.7,5.0
1989-Q2,79.9,10.3
1989-Q3,80.8,4.6
1989-Q4,81.0,1.6
1990-Q1,81.5,1.9
1990-Q2,81.4,2.9
1990-Q3,80.8,-6.5
1990-Q4,80.7,-2.5
1991-Q1,80.6,-10.9
1991-Q2,79.6,-12.8
1991-Q3,79.3,-8.7
1991-Q4,78.2,-12.5
