country,SWE,SWE
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1960-Q1,,33.64167
1960-Q2,,20.09973
1960-Q3,,15.65208
1960-Q4,,10.63578
1961-Q1,,5.549824
1961-Q2,,8.1888
1961-Q3,,5.726625
1961-Q4,,-4.535049
1962-Q1,,6.475076
1962-Q2,,0.4462554
1962-Q3,,0.8675978
1962-Q4,,3.950804
1963-Q1,,8.463017
1963-Q2,,21.04976
1963-Q3,,14.8856
1963-Q4,,16.0709
1964-Q1,,20.87641
1964-Q2,,19.48981
1964-Q3,,17.84921
1964-Q4,,15.29214
1965-Q1,,13.32755
1965-Q2,,3.794668
1965-Q3,,1.67638
1965-Q4,,-1.043185
1966-Q1,,-10.36519
1966-Q2,,-9.23471
1966-Q3,,-0.3605652
1966-Q4,,5.93456
1967-Q1,,0.7256627
1967-Q2,,4.656148
1967-Q3,,9.594304
1967-Q4,,-8.856148
1968-Q1,,9.666114
1968-Q2,,17.47847
1968-Q3,,18.61483
1968-Q4,,19.37858
1969-Q1,,30.64025
1969-Q2,,27.23241
1969-Q3,,22.57213
1969-Q4,,20.85164
1970-Q1,,11.26736
1970-Q2,,0.2951395
1970-Q3,,-5.593942
1970-Q4,,-13.74248
1971-Q1,,-22.97307
1971-Q2,,-23.66623
1971-Q3,,-15.89625
1971-Q4,,-6.235024
1972-Q1,,-4.112103
1972-Q2,,9.175019
1972-Q3,,10.83109
1972-Q4,,15.36264
1973-Q1,,25.02755
1973-Q2,,21.50545
1973-Q3,,23.51143
1973-Q4,,17.46461
1974-Q1,,23.94191
1974-Q2,,8.688302
1974-Q3,,-1.643021
1974-Q4,,-10.4682
1975-Q1,,-24.11767
1975-Q2,,-28.18171
1975-Q3,,-24.73283
1975-Q4,,-10.58666
1976-Q1,,-1.038149
1976-Q2,,8.92674
1976-Q3,,10.40328
1976-Q4,,-4.935328
1977-Q1,,-11.07874
1977-Q2,,-11.78147
1977-Q3,,-14.50449
1977-Q4,,-6.114339
1978-Q1,,3.415603
1978-Q2,,7.798057
1978-Q3,,14.98037
1978-Q4,,19.27352
1979-Q1,,17.5899
1979-Q2,,20.92675
1979-Q3,,18.51175
1979-Q4,,10.23426
1980-Q1,,9.790184
1980-Q2,,-16.56672
1980-Q3,,-24.93437
1980-Q4,,-34.26812
1981-Q1,,-26.86455
1981-Q2,,-17.76256
1981-Q3,,-12.62988
1981-Q4,,-2.838049
1982-Q1,,-8.388214
1982-Q2,,-7.886698
1982-Q3,,-7.196609
1982-Q4,,-4.062758
1983-Q1,,8.75337
1983-Q2,,8.836981
1983-Q3,,19.06689
1983-Q4,,16.59006
1984-Q1,,17.3721
1984-Q2,,16.53966
1984-Q3,,9.727913
1984-Q4,,9.494444
1985-Q1,,8.463514
1985-Q2,,0.867061
1985-Q3,,-0.9891073
1985-Q4,,4.989401
1986-Q1,,-0.4630107
1986-Q2,,2.040507
1986-Q3,,-1.07392
1986-Q4,,2.968861
1987-Q1,,3.77917
1987-Q2,,10.6159
1987-Q3,,18.85296
1987-Q4,,13.62211
1988-Q1,,12.76056
1988-Q2,,8.765022
1988-Q3,,11.82576
1988-Q4,,13.07156
1989-Q1,,11.18336
